year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2005,Ford,Taurus,SEL,Sedan,automatic,1fahp56u35a195704,mi,,19408,beige,tan,"signature auto sales inc",3350,4600,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2006,Ford,Freestyle,Limited,Wagon,automatic,1fmdk06146ga05256,ca,1.9,110340,black,black,"wells fargo dealer services",3875,3700,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Pilot,EX,SUV,automatic,5fnyf3h43cb009887,ga,3.7,111817,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",15200,12000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et4cfc91069,il,5,37416,green,gray,"ford motor credit company,llc",26300,28100,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
1999,Acura,TL,3.2,Sedan,automatic,19uua5644xa036284,ca,2.4,195020,gray,gray,"california auto exchange",1475,2550,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2010,Acura,TSX,Base,Sedan,automatic,jh4cu4f61ac001130,sc,4.2,67783,black,black,"pee dee auto buyers",15700,16600,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2001,Chrysler,Concorde,LXi,Sedan,automatic,2c3hd36j21h648840,pa,3.7,95111,red,tan,"nextgear capital",1450,1400,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0bl505706,nv,2.8,75195,—,gray,"westlake financial services",6150,7300,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du6d1643123,ca,4.3,68829,white,black,"i auto sales inc",13550,14600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Volkswagen,Routan,SE,Minivan,automatic,2v8hw44199r595725,ma,4.2,58208,white,gray,"boch toyota/scion south",6775,7900,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
2007,Volkswagen,Eos,2.0T,convertible,automatic,wvwba71f07v030453,fl,2.8,85574,black,beige,"expert auto group inc",7450,7700,Thu Jun 04 2015 03:33:00 GMT-0700 (PDT)
2004,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18924b027683,md,2,211047,burgundy,tan,"waldorf chrysler jeep",2100,1800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2008,Ford,Escape Hybrid,Base,SUV,automatic,1fmcu49h58kb49999,ca,4.2,123211,black,beige,"donlen corporation",5725,6400,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw192935,oh,3.5,12143,—,tan,"toyota financial services",16050,15600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4aexfh592708,ga,4.5,18186,white,gray,"economy rent a car & sales inc",12950,13100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2005,Ford,Explorer,XLT,suv,automatic,1fmzu73ex5za10125,nj,1.9,67612,red,black,"all american ford inc",4425,4600,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2014,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyzt3lb1eg151203,az,4.2,31560,blue,gray,"avis corporation",17900,17300,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2005,Ford,F-150,FX4,SuperCrew,automatic,1ftpw14555ke05419,ca,3.7,140251,blue,black,"clear view systems",9175,7100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Soul,+,wagon,automatic,kndjt2a6xd7757723,ga,3.6,57193,white,black,"the hertz corporation",9850,10200,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2002,Honda,Accord,EX V-6,Sedan,automatic,1hgcg16582a052153,fl,1.9,137723,gold,tan,"autonation toyota fort myers",2625,2500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2011,Nissan,Juke,SL,Hatchback,manual,jn8af5mr2bt001701,ca,4.2,54103,brown,black,"mercedes benz of laguna niguel",12750,12100,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er402756,fl,4,10587,gold,beige,"enterprise holdings/gdp",20600,22400,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1e5255147,tn,4.8,15068,red,brown,"ford motor credit company",21900,22000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2013,Ford,C-Max Energi,SEL,Wagon,automatic,1fadp5cu8dl525293,mo,4.8,23864,—,gray,"ford motor credit company,llc pd",15900,16100,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2014,Ford,E-Series Van,E-250,E-Series Van,,1ftne2ew7eda31410,pa,4.4,13249,white,gray,"u-haul",20000,22000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc4dbb12374,ma,4.7,62928,silver,black,"hertz remarketing",17900,17900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu9dg3ckb25995,pa,4.7,23271,blue,black,"ford motor credit company,llc pd",18400,18200,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g95dr826037,il,4.7,44179,gray,black,"ford motor credit company,llc",19600,18500,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2011,Kia,Optima,LX,Sedan,automatic,knagm4a73b5123798,az,2.4,69806,silver,gray,"jpmorgan chase bank,n.a.",9975,11200,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2013,GMC,Yukon XL,SLT 1500,SUV,automatic,1gks2ke76dr212749,ga,3.7,62890,white,black,"the hertz corporation",25700,25100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2002,Buick,Rendezvous,CX,SUV,automatic,3g5db03e02s546061,nj,1,1,silver,gray,"credit acceptance corp/vrs/southfield",4050,350,Thu May 28 2015 11:05:00 GMT-0700 (PDT)
2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5cm810094,fl,3.9,57774,gray,black,"nissan infiniti lt",16200,15800,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2014,Lincoln,MKT,Base,Wagon,automatic,2lmhj5atxebl50988,il,4.5,27587,red,tan,"ford motor credit company",30600,32900,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8cr259827,nc,4.1,69120,white,black,"ge fleet services for itself/servicer",10300,10500,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Premium quattro,Sedan,,waubfafl6dn044136,pa,3.5,39414,silver,black,"avis corporation",22000,21800,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Fusion Energi,Titanium,Sedan,automatic,3fa6p0su9dr316529,nj,4.8,16745,green,black,"ford motor credit company,llc",22100,21700,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc195750,nj,3.8,57507,black,black,"the hertz corporation",12050,11500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Touring,Hatchback,,jm1bl1l85c1538859,pa,4.6,40957,gray,black,"jpmorgan chase bank,n.a.",11350,12600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2006,Pontiac,Torrent,Base,SUV,automatic,2ckdl73f166092083,oh,5,68235,burgundy,black,"santander consumer",5300,7600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2015,Mitsubishi,Mirage,DE,hatchback,automatic,ml32a3hj7fh010235,tx,4.4,5401,white,black,"santander consumer",9100,9800,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2007,Chevrolet,Impala,LS,Sedan,automatic,2g1wb55k679133107,mn,2.2,160493,white,gray,"luther brookdale chevrolet",3125,3500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,,,,,,1c4njdab3ed820020,on,5,15267,white,black,"chrysler canada inc",18300,18200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg1cr394077,mo,4.3,29070,—,black,"ford motor credit company,llc pd",13850,13900,Tue Jan 27 2015 05:30:00 GMT-0800 (PST)
2007,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36237s000251,md,3.5,122985,gray,beige,"koons silver spring ford lincoln",4275,5900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k26el297011,ga,4.5,28790,red,gray,"budget rent a car/alabama",12050,11900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2008,Ford,Ranger,SPORT,SuperCab,manual,1ftyr44e78pb14876,mi,4.2,71349,red,black,"automobiles paille inc",10300,8000,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f24dl285934,ca,2,52853,white,black,"the hertz corporation",9800,8200,Wed Feb 18 2015 04:40:00 GMT-0800 (PST)
2006,Honda,Accord,EX,Coupe,automatic,1hgcm72666a017272,ga,2.3,136750,black,black,"capital one auto finance",4625,5300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2008,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab61ex8l730902,nc,3.6,116667,silver,gray,"crossroads ford inc",4250,5800,Mon Feb 16 2015 01:00:00 GMT-0800 (PST)
2004,Mazda,MX-5 Miata,LS,Convertible,manual,jm1nb353540407466,fl,1.9,203026,red,black,"ed morse cadillac",1575,2000,Thu Jan 08 2015 15:30:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,suv,,2fmdk3jc9dba05591,on,4.4,47739,gray,black,"canadian road leasing co & ford credit canda ltd",22000,21400,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2014,Honda,Civic,EX,Sedan,automatic,19xfb2f88ee001215,nv,4.4,5032,red,beige,"ahfc/honda lease trust/hvt, inc.",16500,16000,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38697b072240,va,2.2,102300,blue,gray,"sullivan auto trading inc",8475,7100,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
2011,Hyundai,Genesis Coupe,2.0T R-Spec,Genesis Coupe,automatic,kmhht6kd8bu044655,oh,4.6,58297,blue,black,"pauley motor car co preowned vehicles llc",11500,12100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2011,Toyota,RAV4,Limited,suv,automatic,2t3yf4dv8bw099745,fl,3.9,33376,silver,gray,"world omni financial corporation",18000,16800,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5apxbc865687,fl,1.9,22178,silver,black,"nissan-infiniti lt",17650,15400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0bc814991,ny,2.3,44945,silver,black,"m and t bank",15300,13500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,sedan,automatic,4t1be32k42u031558,ga,3.5,247920,gold,tan,"crown nissan greenville",1825,2900,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2013,Buick,LaCrosse,Premium II Group,sedan,,1g4gf5e38df193834,pa,4.3,20050,black,gray,"r hollenshead auto sales inc",19800,19600,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv2cw700514,il,3.7,41076,black,black,"nissan-infiniti lt",13800,13800,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7dm758868,ga,4.5,8232,gray,black,"nissan infiniti lt",23000,23200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Volkswagen,CC,Executive PZEV,sedan,automatic,wvwrp7an0ee535507,il,2.9,15048,black,black,"vw credit",23000,21200,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ap5au6de024495,tx,4.2,38781,red,black,"avis corporation",14450,14500,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,,1n4al3ap8en236498,fl,4.7,18621,black,beige,"nissan north america inc.",19350,22200,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2007,Pontiac,G6,GT,convertible,automatic,1g2zh35n874141766,tx,2.1,106745,gray,gray,"san antonio dodge chrysler jeep",5425,4700,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f34ca189371,pa,4.2,34682,gray,gray,"ahfc/honda lease trust/hvt, inc.",12250,12900,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,sedan,automatic,kmhdh4aexdu639329,oh,3.5,19747,blue,tan,"hyundai motor finance",13850,13500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2007,Mitsubishi,Outlander,XLS,SUV,automatic,ja4ms41x17u003789,ga,3.3,126453,gray,black,"automobile acceptance corp",4150,3900,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd0du236121,fl,4.7,12642,black,beige,"hyundai motor finance",19300,24000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6cm673633,mo,4.8,38606,red,black,"nissan infiniti lt",19100,21600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,sedan,automatic,1fadp3f2xdl302879,il,3.4,56347,gray,gray,"advantage chevrolet/ge",8700,9100,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2009,Chevrolet,Traverse,LT1,SUV,automatic,1gner23d59s168800,pa,3.8,84669,white,black,"reedman toll auto world",11050,12500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5c53be825637,ca,3.3,40957,black,black,"financial services remarketing (lease)",22800,23500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2005,Infiniti,G35,Base,Sedan,automatic,jnkcv51e35m208071,fl,2,86742,blue,gray,"david j leahy jr",7550,8200,Thu Feb 12 2015 08:00:00 GMT-0800 (PST)
2011,Acura,MDX,Base,SUV,,2hnyd2h64bh506824,pa,4.2,36883,silver,black,"adcock brothers inc",26800,26600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
2002,Ford,Focus,ZTS,Sedan,automatic,1fafp38302w346352,oh,3.7,125550,gray,black,"cnac corporate office/columbus",1450,2000,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2003,Lexus,ES 300,Base,sedan,automatic,jthbf30g230133609,ca,2.5,234204,silver,gray,"sullivan luxury cars llc",1925,2400,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2014,Toyota,Tundra,SR5,Double Cab,automatic,5tfrm5f15ex074893,ga,4,29689,silver,gray,"world omni financial corporation",25600,26200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sa4df331044,mi,4,55027,blue,black,"the hertz corporation",12400,12200,Thu Feb 26 2015 02:15:00 GMT-0800 (PST)
2001,Subaru,Forester,S,Wagon,manual,jf1sf65611g737052,ma,1.9,155691,silver,gray,"boch new to you superstore",1875,500,Thu Jan 22 2015 10:30:00 GMT-0800 (PST)
2009,Toyota,Camry,LE,sedan,automatic,4t1be46k39u366028,ms,2,108648,silver,gray,"dt credit corporation",7075,7400,Thu Jun 11 2015 03:15:00 GMT-0700 (PDT)
2010,Ford,F-150,Lariat,supercrew,automatic,1ftfw1ev8afa67625,ga,2.9,104578,white,black,"lynn hines used cars",20200,19600,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba0ck563392,tx,4.8,29508,red,black,"mercedes-benz financial services",6500,7000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2005,Dodge,Magnum,RT,Wagon,automatic,2d8gv58245h596155,fl,1,98474,charcoal,gray,"regional acceptance corporation / greenville",5825,4300,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2014,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c59et493632,nj,3.9,6164,white,—,"bmw mini north america",17550,17000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
2009,Audi,A5,quattro,Coupe,automatic,waudk78t59a015780,pa,4.5,58747,black,black,"moon township ford",19850,20700,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc110650,va,3.7,93712,silver,tan,"wheels exchange llc",8275,9500,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2008,Cadillac,DTS,Base,sedan,automatic,1g6kd57y48u204684,nj,2.1,100336,blue,beige,"awn sales ltd",7000,8300,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2011,Buick,Regal,CXL,Sedan,automatic,w04gn5ec4b1083603,il,1.9,63275,white,tan,"grossinger autoplex inc",11100,10400,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx9duc63120,oh,,51510,blue,tan,"acra automotive group",13450,12700,Thu Dec 18 2014 10:05:00 GMT-0800 (PST)
2005,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41ex5c828513,ca,1.9,120981,blue,beige,"lobel financial corp",3850,3500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2011,Jeep,Liberty,Sport,SUV,automatic,1j4pp2gk8bw515741,wi,3.2,92360,black,gray,"jpmorgan chase bank,n.a.",8850,9200,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2010,Nissan,Versa,1.8 S,Sedan,automatic,3n1bc1ap8al356155,ma,3.3,115669,white,black,"capital one auto finance",3650,2400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc2dbc62467,wi,4.4,72492,gray,gray,"wheels exchange llc",17300,18200,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,Ram,1500,ST,Crew Cab,,1c6rd7kt3cs261618,mi,4.3,39818,gray,black,"gm financial",23700,24100,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f35ca087707,tn,4.1,15157,burgundy,beige,"ahfc/honda lease trust/hvt, inc. eot",13300,14600,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2008,Jeep,Commander,Sport,SUV,automatic,1j8hg48k58c142438,nj,3.1,93314,beige,black,"consolidated asset recovery systems, inc.",8875,7600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2014,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad3eu182541,fl,4.2,12327,silver,black,"kendall hyundai",14400,14100,Thu Jun 11 2015 02:45:00 GMT-0700 (PDT)
2012,Volkswagen,Passat,SEL PZEV,Sedan,automatic,1vwcp7a30cc080670,az,3.8,27781,silver,gray,"chapman scottsdale autoplex llc",14750,16800,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2011,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba1bc046857,fl,4.1,62060,gold,tan,"lexus financial services",22500,23600,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag9ch257657,il,3.3,11825,black,black,"ford-lincoln dealer program",18700,20100,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2010,Mazda,Mazda3,s Grand Touring,Sedan,,jm1bl1s66a1347867,pa,3.5,122987,silver,black,"r hollenshead auto sales inc",6250,6300,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2010,Dodge,Journey,SXT,SUV,automatic,3d4pg5fv2at260448,az,4.1,51667,white,beige,"jpmorgan chase bank,n.a.",9825,12000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaaxdd226030,nj,4.1,5599,red,black,"jpmorgan chase bank,n.a.",10700,10800,Wed Jan 07 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h66cb021199,nj,2.3,32285,white,gray,"ahfc/honda lease trust/hvt, inc. eot",22300,20800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2009,Dodge,Journey,SE,SUV,automatic,3d4gg47b19t204396,fl,1,103293,red,—,"credit acceptance corp/vrs/southfield",5850,3000,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er293016,tx,4,31053,silver,black,"pv holding inc/gdp",18250,18000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2010,Mercedes-Benz,Sprinter,2500 170 WB Passenger,Van,automatic,wdzpe8cd3a5495098,ca,3,192051,black,gray,"mercedes benz of laguna niguel",18950,17750,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2005,Toyota,Camry,XLE,Sedan,automatic,4t1be32k95u099276,oh,2.9,123750,beige,gray,"dt credit corporation",4650,6600,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25x,g sedan,,jn1dv6ar9cm730881,pa,3.4,30568,black,gray,"nissan infiniti lt",17350,16800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2012,Lexus,RX 350,Base,suv,automatic,2t2zk1ba5cc080320,fl,3.5,30235,white,beige,"lexus financial services",26300,28400,Mon Jul 06 2015 06:00:00 GMT-0700 (PDT)
2003,Chrysler,Town and Country,Limited,Minivan,automatic,2c8gp64l63r329702,nc,1.9,195968,white,gray,"american lending solutions",825,500,Mon May 11 2015 02:30:00 GMT-0700 (PDT)
2008,Mercury,Mariner Hybrid,Base,SUV,automatic,4m2cu29h78kj22595,pa,3.3,105788,silver,beige,"eagle automotives inc",6725,6900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2012,Ford,Focus,S,sedan,automatic,1fahp3e26cl410398,nv,4.4,13831,silver,black,"gaudin motor co",9125,8700,Thu May 28 2015 04:50:00 GMT-0700 (PDT)
1998,Lexus,ES 300,Base,Sedan,,jt8bf28g2w5035542,md,4.1,244329,gold,tan,"carbiz",1475,1600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2010,GMC,Yukon,Denali,SUV,automatic,1gkukeef9ar138353,wi,2.9,121919,white,tan,"robert preussler motors llc",20200,23400,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2002,Honda,Civic,EX,Coupe,automatic,1hgem22002l055439,wi,2.8,115208,blue,gray,"ed napleton honda",2700,2900,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2007,Kia,Sportage,LX,SUV,automatic,kndje723577400983,wi,2.8,97615,—,beige,"braeger chevrolet",5025,6500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2011,Kia,Sorento,EX,SUV,automatic,5xyku4a20bg136310,tx,4,107318,green,black,"consolidated asset recovery systems, inc.",12000,9100,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f24dl206987,ny,4.4,20241,gray,gray,"ford motor credit company,llc",11350,10500,Wed Feb 11 2015 01:20:00 GMT-0800 (PST)
2006,Nissan,Titan,LE,Crew Cab,,1n6aa07a36n551676,ca,,92781,gold,—,"m l sim",9625,12200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2006,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ak55f967710953,fl,2.3,127179,red,gray,"remarketing by ge/drivetime",2150,2100,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
2007,BMW,3 Series,328i,Sedan,automatic,wbavc53537fz73816,az,3.4,99238,black,black,"chapman corporate wholesale",8100,8200,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2007,Chrysler,Town and Country,Touring,Minivan,automatic,2a8gp54l97r134087,pa,1,121922,red,gray,"credit acceptance corp/vrs/southfield",3875,2000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2009,Dodge,Charger,Base,Sedan,automatic,2b3ka43d99h596909,tx,3.6,110487,red,black,"dt credit corporation",7050,7000,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
2005,Chevrolet,TrailBlazer EXT,LT,SUV,automatic,1gnet16s456164388,va,3.5,169052,gray,gray,"century auto sales",3175,2200,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm8efa19344,fl,4.1,41093,—,gray,"ars/avis budget group",22300,23100,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2007,Chevrolet,Impala,LS,Sedan,automatic,2g1wb55k779184633,fl,1.9,198536,white,gray,"santander consumer",1925,1200,Wed Jan 21 2015 01:05:00 GMT-0800 (PST)
2011,,,,,automatic,wbakb8c56bcy66017,ga,3,79373,beige,beige,"davis automotive",28200,28600,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2008,Buick,Enclave,CXL,SUV,automatic,5gaer23768j235932,fl,3.5,153500,silver,gray,"d&a fine cars",8325,8400,Tue Feb 03 2015 01:20:00 GMT-0800 (PST)
2006,,,,,manual,jn1az34e46m380059,ga,1.9,54401,black,—,"tdaf remarketing",10700,5100,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek6bm215487,ca,3.8,39580,black,black,"nissan infiniti lt",19850,17750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,Ram,1500,Tradesman,Regular Cab,automatic,3c6jr6at5eg111353,tn,4.3,9900,black,gray,"chrysler capital",20600,20800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2008,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e48a348941,fl,4.1,91557,black,beige,"auto sails inc",13800,13600,Wed Jun 03 2015 02:25:00 GMT-0700 (PDT)
2014,Infiniti,Q50,Base,Sedan,automatic,jn1bv7ap7em672557,tx,3.7,22256,gray,black,"nissan infiniti lt",27800,26000,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxeu346364,co,3.4,28220,black,black,"ez rent a car/orlando",15750,15300,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
2002,Ford,Taurus,LX,Sedan,automatic,1fafp52u02a179971,oh,1.9,215530,silver,gray,"dt inventory",450,250,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e30d1231859,md,3.4,58647,black,black,"the hertz corporation",9775,9000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k21dl298291,fl,3.9,36410,—,black,"ars/avis budget group",11250,11000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2008,Chevrolet,TrailBlazer,LT,SUV,automatic,1gndt13sx82152774,mi,3.1,91970,silver,black,"remarketing by ge/the credit union loan source",7475,5800,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
